,text,topic
15196,""" Govia Thameslink fined £1m over passenger killed leaning out of window https://t.co/3g3nE4eBLc "" | Via https://t.co/6PmGeeZhZT https://t.co/QrJAtL81EV",none
25,"""Congestion"" is NOT a reason for delay, it's a symptom of something which has caused delays, in this case yet more of @TLRailUK's wonderful new trains failing in service. https://t.co/3Fzb03oJTh",delays
26,"""Govia Thameslink Railway (GTR) is facing a £5m fine for the chaos caused by the introduction of a new timetable last May, which led to train cancellations and delays for hundreds of thousands of commuters."" https://t.co/kQ9x4Kb5q3",delays
27,"""Minor delays"" #thameslink https://t.co/G46OnRr6hk",delays
28,"""My apologies passengers, we appear to be having an issue with the door opening system"" ThamesLink how did this happen",doors
29,"""No more trains passing through platform 5. Please use London Underground."" - station announcer, London Bridge. But, when you can actually see the @TLRailUK train headlights pulling in, you really know better than she does. One minute later, I'm moving on a ghost train 🤦🏻‍♂️",delays
30,"""Please listen to announcemenrs"" it's hard when there aren't any... today's @TLRailUK started from Three Bridges vice Brighton so there's a code for it (there seems to be one from Haywards Heath) real time info is only useful when it is working, at least it has the time right...",station
31,"""Smart"" #brakes improve #energy consumption on #Govia #Thameslink Railway fleet https://t.co/pZrycqWqnt",train_general
32,"""South African President suffers over three hour delay to a 45 min train journey"". Me: Don't say it... Don't say it... Don't say it... ...Maybe he was on a Thameslink train! https://t.co/duvnt9jsuy",delays
33,"""Thameslink seat haters unite"" 😭😭😭 https://t.co/qPm8JVdVzH",seats
34,"""Welcome back from holiday, Ross. What can we do for you?"". ""I'd actually love some train delays so I'll struggle to see my son tonight, any chance?"". ""Of course, it's our speciality. Here you go, Sir"".... @TLRailUK",delays
35,#123Disruption - Delays to Great Northern / Thameslink services between Welwyn Garden City and London expected until 14:30.,delays
36,"#125DISRUPTION - MAJOR DELAYS to all Thameslink trains until the end of service. Trains may be delayed by up to 120 minutes, delayed or cancelled. (Pics sent by someone at London Bridge) https://t.co/cniQNnavTI",delays
37,#125Disruption - Delays to Great Northern / Thameslink services between Peterborough and Stevenage expected until 17:00. This is due to a trespasser. ^Cameron,delays
38,#125Disruption - Delays to Great Northern and Thameslink services between #Stevenage and #WelwynGardenCity are expected until 20:00. ^J This is due to a passenger being taken ill on a train.,delays
39,#125Disruption - Delays to Great Northern and Thameslink services between Peterborough and Hitchin expected until end of service.,delays
40,#125Disruption - Delays to Great Northern and Thameslink services through #AlexandraPalace expected until 21:00. This is due to an operational incident.,delays
41,#125Disruption - Delays to Great Northern and Thameslink services to and from London #KingsCross expected until 21:00. This is due to a signalling problem.,delays
42,#125Disruption - Delays to Thameslink between Luton and London St Pancras International expected until 08:45. This is due to a fault on a train.,delays
43,#125Disruption - Delays to Thameslink services at London St Pancras International expected until 20:30. This is due to an earlier ‘operational incident’.,delays
44,#125Disruption - Delays to Thameslink services between Luton and London St Pancras International expected until 18:00 - #Cricklewood. This is due to a points failure.,delays
45,#125Disruption - Delays to Thameslink services between St Albans and London St Pancras International until the end of the day - #Elstree. This is due to a speed restriction. Minor delays expected.,delays
46,#125Disruption - Delays to Thameslink services through London #StPancras International expected until 10:00. This is due to a communication alarm being activated on a train.,delays
47,#125Disruption - There May be some delays between St Albans and West Hampstead Thameslink.. This is due to a brief failure of the electricity supply.,delays
48,#125Disruption A Thameslink train has now broken down at Greenhithe so trains will be further delayed. ^Will,delays
49,#125Disruption delays are expected whilst thameslink work to more services back to normal following a passenger becoming ill on a train at #blackfrairs LW,delays
50,"#Bedford - All lines have now reopened between St Albans City and Bedford following power supply problems. Services may continue to be delayed by up to 60 minutes, cancelled or revised across the Thameslink network until the end of service this evening.",delays
51,"#Bedford - Following earlier power supply problems, all lines have once again had to be blocked between St Albans City and Bedford as the problems have reoccurred. Thameslink services across the network may be delayed by u to 45 minutes, cancelled or revised.",delays
52,"#Bedford - Thameslink services across the network may be delayed by up to 45 minutes, cancelled or revised until the early hours following earlier power supply problems. Ticket acceptance is in place and replacement buses are in operation between St Albans City and Bedford.",delays
53,#Bedford Assistance Locomotive now arriving. Network Delays expected until 08:30 with Platform 3 un available. #Thameslink https://t.co/y5cMfnHfe2,delays
54,#BellyMujinga died from coronavirus after being spat on. Black people are 4x more likely to die of Covid-19 in the UK. Belly was a frontline worker but wasn't given adequate protection.Sign the petition: bit.ly/3fVTLsh#JusticeforBellyMujinga,covid
55,"#Breaking #LatestNews on #Southern, #Thameslink and #Gatwick Express service disruption (due to signal failure at #EastCroydon): Services should be running soon but with delays. A few trains calling at #Farringdon. Rail operators say check National Rail website. (#LondonBridge)",delays
56,#Breaking Commuters waiting for the 0742 train this morning were startled by the sudden appearance of a suspicious object. Railway staff assured them it was just their train running on time. @SW_Help @Se_Railway @SouthernRailUK @LNER @networkrail @TLRailUK @GC_Rail @TfLRail,delays
57,"#BreakingNews: #Latest #News on #Southern, #Thameslink & #GatwickExpress service disruption (due to signal failure at #EastCroydon): Services should be running soon but with delays. A few trains calling at #Farringdon. Rail operators say check National Rail website. (#Victoria)",delays
15197,#CAGEurope Govia Thameslink fined £1m over Gatwick Express window death https://t.co/sbOomgDFOO #finance #supplychain #Retail #businessNews,none
58,#Cricklewood - All lines have now reopened following a passenger being taken ill on a train between St Albans and West Hampstead Thameslink earlier today. Train services may be cancelled or delayed. Disruption is expected until 15:30.,delays
59,"#Cricklewood - Due to the nature of the repairs required which will take place when no services are running, services have to run at a reduced speed on the ‘up northbound mainline’. As such, Thameslink services may be delayed by up to 20 minutes, cancelled or revised.",delays
60,"#Cricklewood - Thameslink are advising you to delay your journey until later today. If you choose to travel, you will have to use the rail replacement transport or alternative routes provided. This will extend journey times by up to 60 minutes. More info: https://t.co/ogSN8jiTQz",delays
61,#Cricklewood - Thameslink passengers are asked to delay their journey if possible until later today as there is a very limited service operating between Bedford and London St Pancras due to overhead wire damage. https://t.co/ogSN8jiTQz,delays
62,"#Cricklewood - Thameslink services may continue to be delayed by up to 30 minutes, cancelled, revised or altered until 15:00. Ticket acceptance remains in place with the operators previously listed. Please continue to allow extra time for your journey.",delays
