,text,sentiment
14598,"⚠️ #TLUpdates - Due to a safety inspection of the track being undertaken by Network Rail at Norwood Junction, services are subject to delay or cancellation. ℹ️ More details to follow once we have it.",negative
15786,"@TLRailUK On the announcement we were told that the driver hadn’t shown up so they had to cancel the train? Thank you, I will",negative
1936,1418 Thameslink train to Horsham: On time - plat 4 1441 Thameslink train to Peterborough: Delayed - plat 1 1448 Thameslink train to Horsham: On time - plat 4 1511 Thameslink train to Peterborough: Cancelled 1518 Thameslink train to Horsham: On time - plat 4,neutral
13990,"This morning's Thameslink train is covered in graffiti that reads ""Come on you dosser! Gipsy King!"" Fast work but imagine thinking ""What a fight that was! Right lads, down the train yard?""",neutral
6291,"@TLRailUK I think a bit before Mill Hill, but definitely got worse. People were moving forward. When the window smashed, I joined them. Driver came through telling us it was a pipe that had broken.",negative
11322,@schnuckster And now it's delayed indefinitely. After being about to arrive in the next minute. #Thameslink cunts.,neutral
13628,Thameslink update: 12:28 Sevenoaks to London Blackfriars due 13:34 is being delayed at Swanley. Download the Train Beacon iOS app today https://t.co/HH7mCmEhnH,neutral
5715,@TLRailUK Every journey in high peak from Stevenage is affected. It is immeasurably worse in terms of space / seats than before the May18 timetable change. I am yet to see any benefit from the alleged additional capacity - it is fictional as far as I am concerned.,negative
16584,In another grumble these @TLRailUK Siemens seats are both flimsy and cramped so the guy in the seat behind keeps kneeing me in the back and I can feel the seat move. It’s very annoying,negative
10437,@brighton_line @SouthernRailUK @TLRailUK Pity the ticket machines screens Always face the Sun . I can never see to buy a ticket!,negative
8461,"@TLRailUK delayed by an hour and half due to cancellations from @StPancrasInt to get home to Royston, Herts after a long day travelling from St Ives, Cornwall. On a plus note your staff were very helpful.",negative
16446,Govia Thameslink fined £1m over Gatwick Express window death (article by @bbcnews) ---> https://t.co/PRr7aDeDqt #HealthandSafety https://t.co/Tn87HlF3Bx,neutral
1331,(Thameslink Update) 18:49 Sutton Surrey to St Albans City due 20:22 - 18:49 Sutton Surrey to St Albans City due 20:22 has been delayed at Mill Hill Broadway and is now 11 minutes late.,negative
5205,"@TLRailUK @mattjsimpson00 @Se_Railway Incorrect... you did not stop, you would not stop, but there was no physical reason why you could not. You chose not to because it was easier or cheaper. Are you saying that if there had been a fire on the train while sat there it would be physically impossible to open the doors?",negative
15712,"@TLRailUK It’s been 20 minutes now... we can’t keep having the same ‘we will be on the move shortly’ announcement from the driver, or be told we are being held at a red signal when that isn’t the case!",negative
15689,@TLRailUK If I was there in person I’d ask why my delay repay claims are being incorrectly dismissed with no option to appeal or submit the screenshots I have of the cancelled trains.,negative
5670,@TLRailUK Do you ever have a train that is not cancelled or delayed ? I get thameslink every day and it’s never a smooth journey,negative
7859,"@TLRailUK Whilst I hope this person is ok, I'm really struggling to understand why you need to stop all services from entering the station. Is there a reason why people taken ill cant be treated on the platform or in an ambulance?? These delays are ridiculous. Esp on a Monday morning ffs",negative
13617,Thameslink update: 11:00 Rainham Kent to Dartford due 11:44 is being delayed at Gravesend. Download the Train Beacon iOS app today https://t.co/HH7mCmEhnH,negative
993,(Thameslink Update) 09:07 St Albans City to Sutton Surrey due 10:44 - 09:07 St Albans City to Sutton Surrey due 10:44 has been delayed at Farringdon and is now 1 minute late.,neutral
6423,@TLRailUK I've only been granted a 50% delay repay for a day (14th Oct) when all my trains were cancelled and I was unable to travel to work. Absolutely unacceptable. Please contact me to refund the rest.,neutral
5347,@TLRailUK All the coaches I could see. I realise unlikely to be fixed on its trip to Horsham but some announcements from the driver would help,neutral
1243,(Thameslink Update) 17:03 Orpington to Luton due 18:51 - 17:03 Orpington to Luton due 18:51 has been delayed at Denmark Hill and is now 5 minutes late.,negative
4101,@Se_Railway also does this just effect all southeastern services? or all trains from the station? (which doesn't seem to be the case as thameslink seem to open all doors),neutral
12191,Govia Thameslink Railway announces station modernisation programme https://t.co/XvIFTfpxPs #news #rail #trains https://t.co/xVyqeM9pcy,neutral
1824,10:58 Moorgate (platform 4) great northern 11:04 Gatwick Airport (platform 1) Thameslink 11:06 London X (platform 2) Lner 11:07 - DELAYED - expected 11:11 Cambtidge (platform 4) thameslink 11:10 London X (platform 1) thameslink 11:11 - DELAYED - expected 11:12 LondonX pt. 2 lner,neutral
8341,@TLRailUK can you check the WiFi on coach 412142. It’s so slow it’s unusable. A common problem,negative
16186,"@chrsmi Ah, you will need a specific Heathrow Express ticket. Although looking again at that screenshot, it says ‘Northern & Thameslink services only’ which wouldn’t allow you to get to Heathrow.",neutral
6511,"@TLRailUK It is late every day, surely something needs to be done it? No one wants delay repay we just want to be on time! Plus it’s not even going to be late enough to claim, but being ten minutes late isn’t good enough.",negative
1819,1054 Thameslink train to Peterborough: Delayed - plat 7 1124 Great Northern train to Watton-at-Stone: Cancelled 1101 Thameslink train to Cambridge North: expected 1126 - plat 5 1112 Thameslink train to Cambridge: expected 1128 - plat 5,neutral
5435,@TLRailUK Any chance of s’bound services from Elstree? Everything at the moment is delayed/ cancelled,neutral
1439,(Thameslink Update) 22:54 Luton to Sutton Surrey due 00:31 - 22:54 Luton to Sutton Surrey due 00:31 has been delayed at Mill Hill Broadway and is now 15 minutes late.,neutral
9646,"@TLRailUK what's going on with trains out of Peterborough? St Neots 7:48 just says ""delayed"" currently.",neutral
10063,@TLRailUK your travel safe pledge? Does this make masks optional on every train and allowing customers to put there feet on seats during the pandemic? Where are your staff or @BTP ?,negative
14074,"Unbelievably cynical move, @TLRailUK . Delay the 18.11 LBG to E Grinstead train, THEN put in an extra stop at N Junction only to cancel all scheduled stops between E. Croydon and EG solely to make up time. You don’t fool anybody. Hoardes of unhappy commuters know the real score.",negative
10585,"@deadchivalry @Se_Railway @TLRailUK That’s it, isn’t it. Obviously the train lines can’t help delays when something tragic like that has happened but staff should be on hand to reassure and inform passengers! Given the time of evening, they probably didn’t have enough staff on shift.",neutral
16094,@TLRailUK what’s with wifi this week? Seems every thameslink train I’ve been on for the past two days has had no wifi :-(,negative
10212,"@Tommy11_7 @NetworkRailSE @Se_Railway @SouthernRailUK @TLRailUK @BBCRadioKent @lembitopik @SimonJonesNews @BTPLondon @NetworkRailVIC @BTPKent @kentfirerescue I have a feeling you should expect disruption tomorrow, not just this sort of damage but also to stations, especially London Victoria if it's got roof damage, winds not due to die down for a while yet so wouldn't expect that to be cleared until it's safe",negative
16825,Whilst this is undeniably a tragic event does the outcome mean I need a sign on my oven saying don’t stick your head in it when it’s on or would a sign stating ‘BEWARE Darwin effect may apply’ suffice? Thameslink fined £1m over Gatwick Express window death https://t.co/gGsjoZosa0,negative
7171,"@TLRailUK So, your train timetable says a train is stopping at West Hampstead Thameslink, the announcement even confirms that. Please tell me why it has decided to go straight through it without any warning to passengers waiting to get off at West Hampstead Thameslink?????",negative
5605,@TLRailUK Closing the train doors on people at London Bridge is outrageous... You cant signal a trsin is leaving when nobody has got on yet. The most expencive rail service going; bloody act like it.,negative
2313,"2 ‘revenue officers’ & the station staff chatting & ignoring customers at Earlswood while the station doors & ticket office are closed - great waste of our HUGE fairs, REMOVE THE redhill hump & zone 6 to Gatwick! @SouthernRailUK @TLRailUK",neutral
1962,1528 LNER train to York: Delayed - plat 3 1540 Thameslink train to Kings Cross: On time - plat 1 1538 Thameslink train to Cambridge North: expected 1543 - plat 4 1544 Thameslink train to Peterborough: expected 1546 - plat 4 1547 Thameslink train to Horsham: Delayed - plat 1,neutral
16862,tflrail #trains #uk #gov #ukguv @ukgov mayorofldn se_railway southernrailuk tlrailuk To name just a few transport organisations. Enforce getting feet off seats. It seems that behaviour doesn’t change if their is no… https://t.co/HgfYbqwINN,negative
16759,"The terror when you see an old (and not air conditioned 🥵) @TLRailUK train approaching your platform ... ... and the elation when it doesn't stop but 5 mins later one of those shiny, new, air conditioned ones does 🥶😁 That could have been a disastrous start to a night shift",positive
13834,"Thanks @networkrail, at least you took the time to reply. Would appreciate @TLRailUK telling me the train was terminated early when working perfectly well on a clear line? What could the reason be if not to minimise delay payments on other services? Please explain.",negative
8206,@TLRailUK any chance your delayed 19:35 from London Bridge to Brighton can also stop at Hassocks? No direct Thameslink trains to Hassocks running currently and hoping to gain some luck on an already crap trip home🤞,negative
1289,(Thameslink Update) 17:58 Brighton to Bedford due 20:14 - 17:58 Brighton to Bedford due 20:14 is being delayed between Luton and Bedford.,negative
15092,@TLRailUK @Se_Railway Why did @TLRailUK choose such a light colour to paint your trains? They always look dirty.,neutral
9609,@TLRailUK what happened to retrofitting tables and Wifi to your trains? I'm seeing them less and less from Cambridge <> Brighton - or have you stopped now the outrage has quietened down?,negative
15722,"@TLRailUK I’ll tell you what it is, broken doors on a train TL are responsible for maintaining. Bunch of jokers",negative
15163,@LeeRender @philrichardsuk @northernassist @AvantiWestCoast I disagree - how many door incidents have there been? There was the one in Liverpool which had a miscarriage of justice in my opinion and I believe the passengers was drunk.So do the unions tell their members not to travel on Thameslink or Avanti or travel in Europe 🤔,negative
