,text,topic
6646,"@TLRailUK I’m trying to process a refund for tickets that I used whilst waiting for my keycard replacement, where do I send my query to? There isn’t a form online, thanks",delays
11692,"Another damning indictment on @TLRailUK on the 6.52 from West Sutton into central London. Train driver has just done a tannoy announcement asking if a passenger would take a photo of a leaking toilet and tweet it as he has reported it, but nothing has been done!",toilets
4981,@TLRailUK @SouthernRailUK By severely reduced do you mean not at all? I have been waiting for s train since 4.30pn from Radlett. Only one was 7.40. As soon as it hit 7.38 it gets cancelled. What a waste of a return ticket!! Who is gonna pay for me £20 uber to the nearest tube station????,delays
8307,"@TLRailUK been waiting outside Dartford on the 20:48 Rainham service for 45 minutes now, how much longer will I have to wait?! I could have got off at Slade Green and taken a cab if we had been made aware!",delays
1323,(Thameslink Update) 18:37 St Albans City to Sutton Surrey due 20:14 - 18:37 St Albans City to Sutton Surrey due 20:14 is being delayed at Cricklewood.,delays
14662,⚠️ #TLUpdates - Network Rail have fixed the fault and all lines are now open. Services are still subject to delays of up to 30 mins or cancellations. 🎫 Ticket acceptance remains in place. ℹ️All info and service updates 👇 https://t.co/iYMraBkjSy,delays
6988,"@TLRailUK One of the oyster card readers at Hackbridge station was not working last night. Northbound platform, outside, against the waiting room.",station
2269,1928 Great Northern train to Peterborough: On time - plat 1 1941 Thameslink train to Peterborough: On time - plat 1 1948 Thameslink train to Horsham: On time - plat 4 1958 Great Northern train to Peterborough: Delayed - plat 1,delays
10747,"@greateranglia @EastMidRailway #TLUpdates - Services running through Royston are subject to delays, alteration & cancellation due to a fault with the signalling system, disrupting the line towards London Kings Cross.ℹ Full details including service updates & ticket acceptance 👇thameslinkrailway.com/travel-informa…",delays
10749,@greateranglia @TLRailUK @LDNOverground All lines are blocked between Biggleswade and St Neots whilst the emergency services deal with an incident.  Services between Peterborough and London will be delayed and subject to alteration/cancellation.,delays
9930,@TLRailUK why was the 6:41 train delayed at three bridges train delayed. As now I’m going to be late for work.,delays
15334,"@KaeyiDream Please direct admonishment to @TLRailUK for changing the order of their trains coming into the platform less than 1 minute before arrival, with no announcements 🙄",station
12278,Hertfordshire News: Delays on Great Northern and Thameslink train lines after incident at Kings Cross https://t.co/x7oa0LcAEm,delays
10578,"@davidinthetv @TLRailUK @nationalrailenq @tlrail Hi David, sorry we missed your Tweet, if you miss your service you'd be liable to buy a new ticket but I recommend speaking to a member of staff at Marylebone and explain to them about the delay as they'll be able to provide further assistance. BL",delays
13907,The future of long distance train travel in the UK features uncomfortable washboard seats on the Azuma @LNER trains and on the new @TLRailUK trains. Are the seats on #HS2 gonna be concrete slabs?,train_general
15440,@SouthernRailUK @TLRailUK Day 2 of my new commute from HHE to WAT. Absolute nightmare. Delays and cancellations both this morning and now on my journey home. Trains simply ‘disappear’ from the boards with no announcement. Please improve your service so I can go home!,delays
1715,0928 LNER train to York: expected 0933 - plat 3 0933 Thameslink train to Cambridge: Delayed - plat 4 0930 Thameslink train to Brighton: expected 0934 - plat 1 0937 Great Northern bus to Hertford North: On time 0938 Thameslink train to Cambridge North: On time - plat 4,delays
11990,Don't worry @TLRailUK I didn't have much on this morn. Stood in the cold at streatham waiting for a train that @nationalrailenq says is cancelled but the display board says is 3 mins away. Virtually no announcements. Would have gone another way if I'd had that update sooner...,delays
3221,"@HS2theTruth @Reytomas1228 @AnnieBtransport @SpeedySticks007 @LordOrk @JAT74L @GreaterAngliaPR @Clinnick1 @transportforall @nickbro76777852 @DavidPo22194359 @TLRailUK I think we can all agree wheels need to be on the bottom, but doors could go in the middle and why not internal steps. It works in Spain. All I'm saying is throw away convention & be creative. As you say Accessibility is benefit for all passengers.",train_general
10514,"@chrisjej @TLRailUK Wi fi was on the original spec when the government ordered the class 700's It was added to later builds but is a low output wi fi and if many use it it becomes slow. You are also restricted on what it will show. YouTube, sky news are two I'm told won't show",wifi
8172,@TLRailUK another journey from Stevenage another delay... only 29 minutes this time... will my daily train ever be on time..#shittestmostexpensiverailtravelintheworld,delays
8502,@TLRailUK do your staff not talk to each other? Additional stop put on for Balcombe. Displayed on screens and announced yet driver speeds right through. #unacceptable #poorcommunication #poorservice https://t.co/4SfZO1h0Rn,service
11257,@richardaucock Yes Thameslink but not sure of the type as no press pack has been left on the seat next to me #oversight,none
13176,Services between East Croydon and London Bridge are also being affected by the precautionary speed restriction that is in place. Unfortunately delays will be experienced as our inspections continue. @SouthernRailUK @TLRailUK,delays
4742,@TLRailUK @DanielZealander That’s just one train. Why has this cancelled and delayed the rest of the trains??? I’ve been standing on the platform for nearly 40 mins!!!,delays
8841,@TLRailUK in 407106 somehow the screen has been damaged the hole goes all the way through the screen. https://t.co/IrqekbWsrj,announcements
2683,@B_to_the_Levy @tlupdates @TLRailUK Hey There! Sorry about the wait! You Can Find the Delay repay Section of the website Here: https://t.co/SLaSIRMH8I,delays
4583,"@TLRailUK 2/2 then wait down the platform for the 0926,0 not announcements, delayed 5 mins. 0931 arrival, then as train pulls into platform 4, a alteration announcement. With no chance of getting across in time. So now waiting for the 0941, not good considering got here at 0912!",station
16070,@TLRailUK this awful young guy’s response to being asked to stop reposing muddy boots on a seat was “the train’s a bit shit so I think I’ll do what I want”. Why not put up signs on the trains stopping this and get some inspectors on board. https://t.co/nmIU6TsmMY,vandalism
7622,@TLRailUK This is appalling; two in a row going straight to pbo. Assume there will be no seats on the next train.....,none
16948,"@geofftech I am voting for Thameslink. 1. in a pandemic period is easier to social distance is bigger.2. Is easier to clean because is having more space and is simple.3. Count the capacity of the people inside the train , toilets available . CCTV available there are loads of reason.",announcements
11239,@rach_hopkins @TLRailUK Congrats my friend....from @ELFT_Council to #HousesofParliament... so so proud of you...well done🍾🥂🍾🥂..no more sitting on the naughty table....our table members are so proud of you @sheila62....innit... https://t.co/ZWLyMsUHVS,none
8918,"@TLRailUK just cone@to an abrupt stop, can see@platform but no announcements #whatsgoingon",service
9823,@TLRailUK why has the delayed 8.05 just gone straight through Radlett without stopping?! It was just announced that it was going to stop as usual. Hopelessly hopeless.,none
4118,@Se_Railway so my train being delayed yet again becuse a late running @TLRailUK train.,delays
9966,"@TLRailUK wow got to give it to you...train arrives early in station, and we sit waiting for departure! Almost 4 minutes! No platform staff to wave us off though, driver had to make announcement that we were leaving 🤦🏽‍♀️ #canthaveitall #early #waved",delays
11024,@mattashby27 @CommuterDreamer @GNRailUK @TLRailUK @TfL @LNER May also help if there weren’t so many delays and that prices weren’t jacked up recently! That alone is pretty depressing to all.,delays
2756,@CJForrestauthor @TfL @TLRailUK That's an impressive delay right there!,delays
13481,"ThamesLink are going all out on my last day commuting using their trains... delays, cancellations and platform changes aplenty 😂",delays
9475,@TLRailUK this train didn’t stop at Coulsdon South last stop in zone 6. Announced that it was stopping and went straight through! No update or apology from the driver? https://t.co/OaNpgo2lGN,none
8589,@TLRailUK has got to be the worst train service I have ever experienced in my whole life. Everyday there is an issue on the train going to work or coming home! And we have to pay for this rubbish!,service
14282,Why is it ⁦@TLRailUK⁩ that a 14 minute delay is just cause for cancellation? Can I ever have faith that I can just turn up for a service and it'll be there?? https://t.co/Imm5U3kOV9,delays
